Czas[s]	Masa[g]
12.426	0.000
12.539	0.000
12.621	0.000
12.775	0.000
12.843	0.000
12.853	0.000
12.973	0.000
13.102	0.000
13.174	0.000
13.295	0.000
13.304	0.000
13.402	0.000
13.492	0.000
13.590	0.000
13.702	0.000
13.779	0.000
13.908	0.000
13.981	0.000
14.085	0.000
14.113	0.000
14.204	0.000
14.329	0.000
14.405	0.000
14.545	0.000
14.634	0.000
14.742	0.000
14.744	0.000
14.860	0.000
14.937	0.000
15.037	0.000
15.169	0.000
15.283	0.000
15.352	0.000
15.374	0.000
15.478	0.000
15.606	0.000
15.768	0.000
15.887	0.000
16.043	0.000
16.156	0.000
16.269	0.000
16.363	0.000
16.365	0.000
16.367	0.000
16.369	0.000
16.467	0.000
16.565	0.000
16.672	0.000
16.765	0.000
17.091	0.000
17.294	0.000
17.495	0.000
17.714	0.000
17.965	0.000
18.192	0.000
18.400	0.000
18.665	0.000
18.927	0.000
19.175	0.000
19.370	0.000
19.565	0.000
19.801	0.000
20.017	0.000
20.220	0.000
20.413	0.000
20.622	0.000
20.878	0.000
21.076	0.000
21.269	0.000
21.467	0.000
21.673	0.000
21.865	0.000
22.060	0.000
22.238	0.000
22.436	0.000
22.643	0.000
22.841	0.000
23.030	0.000
23.236	0.000
23.431	0.000
23.640	0.000
23.829	0.000
24.030	0.000
24.236	0.000
24.448	0.000
24.695	0.000
24.908	0.000
25.154	0.000
25.363	0.000
25.582	0.000
25.790	0.000
25.983	0.000
26.187	0.000
26.388	0.000
26.597	0.000
26.786	0.000
26.988	0.000
27.194	0.000
27.397	0.000
27.606	0.000
27.816	0.000
28.021	0.000
28.229	0.000
28.430	0.000
28.637	0.000
28.839	0.000
29.045	0.000
29.261	0.000
29.467	0.000
29.673	0.000
29.877	0.000
30.078	0.000
30.301	0.000
30.547	0.000
30.741	0.000
30.941	0.000
31.135	0.000
31.334	0.000
31.531	0.000
31.720	0.000
31.921	0.000
32.119	0.000
32.320	0.000
32.523	0.000
32.718	0.000
32.922	0.000
33.146	0.000
33.352	0.000
33.639	0.000
33.877	0.000
34.089	0.000
34.334	0.000
34.580	0.000
34.803	0.000
34.994	0.000
35.198	0.000
35.400	0.000
35.624	0.000
35.857	0.000
36.042	0.000
36.235	0.000
36.418	0.000
36.615	0.000
36.812	0.000
36.989	0.000
37.186	0.000
37.377	0.000
37.571	0.000
37.767	0.000
37.963	0.000
38.161	0.000
38.352	0.000
38.545	0.000
38.742	0.000
38.929	0.000
39.135	0.000
39.324	0.000
39.515	0.000
